lon,lat,chaos1_nearby_count12.5,chaos1_nearby_count25,chaos1_nearby_count50,width_nearby_count12.5,width_nearby_count25,cross_road_nearby_count12.5,cross_road_nearby_count25
127.0615091731664,37.14928059110616,90.53,69.89,84.5725,1.0,1.3333333333333333,2,3
127.06161547872829,37.14950332987456,,79.78666666666668,82.80937500000002,1.0,1.75,1,4
127.06186518201918,37.149617022500586,84.97,94.67666666666666,79.33500000000001,1.0,2.0,2,3
127.06095674539348,37.1494330714628,90.53,96.02375,88.85833333333335,1.0,2.0,1,3
127.06123724516809,37.14945708580803,90.53,79.57000000000001,90.39,1.0,2.0,1,3
127.0614611512756,37.1493198798057,90.53,69.89,84.5725,1.0,1.3333333333333333,2,3
127.0683494614262,37.15483885046748,85.0225,85.0225,85.44375,2.0,2.0,0,0
127.07355846165296,37.14637116802432,59.17,59.17,60.165000000000006,3.0,3.0,0,0
127.0732725860913,37.14637609738025,61.160000000000004,61.160000000000004,62.258333333333326,3.0,3.0,0,0
127.07298671052966,37.14638102673618,61.160000000000004,63.802499999999995,63.802499999999995,3.0,2.5,0,0
127.07215107208305,37.13379107096592,92.475,92.475,75.9,2.0,2.0,0,0
127.07243332214682,37.13379494374912,92.475,66.92166666666667,67.817,2.0,2.0,0,4
127.06087070382422,37.15001952007859,86.125,90.61666666666667,93.436,1.0,2.0,2,3
127.06099908477827,37.149810464542455,99.75999999999999,90.61666666666667,87.578125,2.5,2.0,2,3
127.06098665164728,37.14957898746962,99.92,96.46,89.40666666666668,1.0,1.6666666666666667,1,3
127.06194280832932,37.14963235415559,92.225,94.67666666666666,80.77083333333333,1.6666666666666667,2.0,2,3
127.06171420952602,37.14976980779873,92.275,92.275,80.53437500000001,2.0,1.6666666666666667,2,3
127.06158148023891,37.14997046282691,84.97,65.74333333333334,79.74812500000002,1.0,1.6666666666666667,1,3
127.0733331915035,37.15611238454205,98.75999999999999,99.345,99.56125,3.0,2.0,0,1
127.07306604854416,37.15619079241566,99.88,99.7775,99.524,1.0,2.0,1,2
127.07279890558485,37.15626920028927,99.88,99.6275,99.772,1.0,2.5,1,2
127.07254617705097,37.15637855800893,99.88,99.75166666666667,99.5575,1.0,2.0,1,3
127.07242581084438,37.15643307552248,99.94,99.94,99.5575,1.0,1.0,2,2
127.07237668886962,37.15620838524725,100.0,99.6875,99.7225,1.0,2.5,1,2
127.07228788684988,37.15598305554489,100.0,99.8175,99.72250000000001,1.0,2.0,1,2
127.07212625950916,37.155791029740335,100.0,99.815,99.542,1.0,1.6666666666666667,1,2
127.06221297816565,37.1496040765137,99.3775,83.60833333333333,87.075,3.0,2.3333333333333335,0,0
127.0635760908058,37.149466436552025,98.995,98.995,75.01,3.0,3.0,0,0
127.07205812070904,37.15571550890686,99.815,99.815,99.542,1.6666666666666667,1.6666666666666667,2,2
127.0723281038326,37.15578183142319,99.63499999999999,99.87833333333333,99.61833333333334,3.0,1.6666666666666667,1,3
127.07259808695618,37.15584815393953,99.63499999999999,99.445,99.643125,3.0,3.0,1,2
127.0733331915035,37.15611238454205,98.75999999999999,99.345,99.56125,3.0,2.0,0,1
127.07307759361794,37.156011573545655,99.67500000000001,99.82833333333333,99.47916666666667,3.0,1.6666666666666667,1,3
127.07282199573235,37.15591076254926,99.255,99.465,99.66944444444445,3.0,3.0,1,2
127.07277087615526,37.155890600349984,99.255,99.255,99.66944444444445,3.0,3.0,1,1
127.07289195559244,37.155686934286095,99.255,99.61500000000001,99.62833333333333,3.0,2.0,1,4
127.071933720145,37.15720277501805,98.185,98.185,98.185,4.0,4.0,0,0
127.07178344681684,37.157401213043634,97.395,97.395,98.185,4.0,4.0,0,0
127.07162963651037,37.15759069467154,97.395,97.395,97.395,4.0,4.0,0,0
127.07147583792889,37.15778011607124,97.395,97.395,97.395,4.0,4.0,0,0
127.07132217418544,37.15796884484638,97.395,97.395,96.83500000000001,4.0,4.0,0,0
127.07442111885526,37.14636212815828,58.155,58.155,58.155,3.0,3.0,0,0
127.07470287757732,37.14635701574113,58.155,58.155,58.155,3.0,3.0,0,0
127.07498463629938,37.146351903323975,44.825,44.825,71.2575,4.0,4.0,0,0
127.07526639502144,37.146346790906826,44.825,44.825,71.2575,4.0,4.0,0,0
127.07554815374348,37.14634167848968,44.825,44.825,68.3925,4.0,4.0,0,0
127.07582991246554,37.14633656607252,65.275,85.16499999999999,66.83375000000001,2.5,2.0,0,0
127.0761116711876,37.14633145365537,85.16499999999999,85.16499999999999,65.275,2.0,2.0,0,0
127.07450300330484,37.14879717444269,51.349999999999994,51.349999999999994,51.349999999999994,3.0,3.0,0,0
127.0747857620136,37.1487896744961,79.4975,64.875,64.875,2.5,3.0,0,0
127.07506852072238,37.14878217454951,64.875,64.875,64.875,3.0,3.0,0,0
127.07535127943116,37.14877467460292,64.875,64.875,64.875,3.0,3.0,0,0
127.07563403813994,37.148767174656335,64.875,64.875,64.875,3.0,3.0,0,0
127.07591679684872,37.148759674709744,64.875,64.875,64.875,3.0,3.0,0,0
127.0761995555575,37.14875217476315,54.14,54.14,54.14,4.0,4.0,0,0
127.06012087515558,37.15111462837237,92.6,92.14333333333333,92.14333333333333,1.0,1.3333333333333333,0,0
127.06000578337962,37.15132491446853,91.22999999999999,92.24,92.14333333333333,2.0,1.5,0,0
127.0599030575352,37.151537642554736,91.22999999999999,91.22999999999999,92.24,2.0,2.0,0,0
127.05983212980036,37.15175665004389,91.22999999999999,91.22999999999999,91.22999999999999,2.0,2.0,0,0
127.05976120206554,37.15197565753304,91.22999999999999,91.22999999999999,91.22999999999999,2.0,2.0,0,0
127.0615091731664,37.14928059110616,90.53,69.89,84.5725,1.0,1.3333333333333333,2,3
127.0615927230005,37.14906408254798,29.095000000000002,29.095000000000002,56.291666666666664,1.5,1.5,1,1
127.0616762728346,37.148847573989805,29.095000000000002,29.095000000000002,40.5825,2.0,2.0,0,0
127.06175982266872,37.14863106543163,29.095000000000002,29.095000000000002,40.5825,2.0,2.0,0,0
127.06184337250284,37.148414556873455,29.095000000000002,29.095000000000002,40.5825,2.0,2.0,0,0
127.06194658136964,37.1481969157807,40.5825,40.5825,30.633333333333336,1.5,1.5,0,0
127.06206692619509,37.14806850116017,29.095000000000002,30.633333333333336,30.633333333333336,2.0,1.6666666666666667,0,0
127.0620994261694,37.14830106561223,52.07,40.5825,30.633333333333336,1.0,1.5,0,0
127.0621189800957,37.14852625274471,52.07,40.5825,40.5825,1.0,1.5,0,0
127.062138534022,37.14875143987718,52.07,52.07,40.5825,1.0,1.0,0,0
127.06215808794832,37.14897662700965,52.07,52.07,40.5825,1.0,1.0,0,0
127.06217764187464,37.14920181414213,52.07,52.07,83.60833333333333,1.0,1.0,0,0
127.06219753364051,37.14942917671469,52.07,83.60833333333333,87.075,1.0,2.3333333333333335,0,0
127.06845616496722,37.14647231681624,61.9325,65.485,67.61,2.5,2.6666666666666665,0,0
127.0684661959674,37.14670464939719,83.535,83.535,67.61,2.0,2.0,0,0
127.0684701894922,37.14693407611717,83.535,83.535,83.535,2.0,2.0,0,0
127.06847418275974,37.14716278145058,83.535,83.535,83.535,2.0,2.0,0,0
127.06847817574858,37.14739070528188,83.535,83.535,83.535,2.0,2.0,0,0
127.06848216873745,37.14761862911318,83.535,83.535,83.535,2.0,2.0,0,0
127.06848611632138,37.14784622322961,83.535,83.535,83.535,2.0,2.0,0,0
127.06849004253831,37.148073662186086,83.535,83.535,83.535,2.0,2.0,0,0
127.06849396875523,37.14830110114257,83.535,83.535,83.535,2.0,2.0,0,0
127.06849732364202,37.148528489085294,83.535,83.535,83.535,2.0,2.0,0,0
