lon,lat,overspeed_cam_count100,floating_pop_count50,bump_count0,parking_count12.5,parking_count25,car_count1000,child_count1000,elem_kinder_count400,numberSchoolZone_count400,accident_count12.5,accident_count25,chaos1_nearby_count12.5,chaos1_nearby_count25,chaos1_nearby_count50,width_nearby_count12.5,width_nearby_count25,cross_road_nearby_count12.5,cross_road_nearby_count25,num_cram_school_count400,shortest_cross_count0,shortest_traffic_signal_count0,shortest_sidewalk_count0
127.07467334362194,37.15380652322978,0,30.357916666666664,333.84872955584075,0,212,2020,182.0,18,2,0,1,,,57.23,,,0,0,50,7.588512140977794,9.969545865971543,1.6979279253128166
127.07468026297995,37.15403195384371,0,31.79499999999999,355.3334377852056,0,0,2020,182.0,18,2,0,0,,57.23,57.23,,2.0,0,0,50,32.596475753030745,32.71977715957838,2.208323473098836
127.07468718233801,37.154257384457644,0,31.239999999999995,377.25498840184457,0,0,2020,182.0,18,1,0,0,57.23,57.23,57.23,2.0,2.0,0,0,54,57.60444104663953,57.3966289557454,2.718722701159131
127.07469410169605,37.15448281507156,0,24.47638888888889,399.54148365301086,0,0,2020,182.0,17,1,0,0,,57.23,57.23,,2.0,0,0,61,82.61240801503969,82.28462539127734,3.105000546847872
127.07470102105408,37.15470824568549,0,25.0475,422.135126234666,0,0,2020,182.0,17,1,0,0,,57.23,52.724999999999994,,2.0,0,0,61,107.62037666352651,107.2368576301503,3.4334854927237437
127.07471523164855,37.154936179453365,0,34.01305555555555,445.51314899079347,0,1,2020,182.0,17,2,0,0,57.23,52.724999999999994,66.73666666666666,2.0,2.0,0,0,55,132.94576606042466,132.5465313791181,4.124142003415634
127.07823797874504,37.137322697315284,0,63.345934343434344,185.18326352089034,0,3,1909,422.0,7,0,0,0,,28.21,63.83500000000001,,4.0,0,0,25,27.906124086937023,29.732590248448798,11.756518724498129
127.07824219965259,37.13754795150487,0,43.86315656565657,177.7257995627403,0,0,1909,422.0,6,0,0,0,,,27.2825,,,0,0,15,52.905848941283736,53.06672148335214,11.167991314244047
127.07824642056013,37.13777320569445,0,43.5325,173.5806297282735,0,0,1909,422.0,6,0,0,0,26.355,26.355,26.355,4.0,4.0,0,0,19,68.12172676403254,77.44859192091585,11.109239381746988
127.07825064146765,37.13799845988403,0,65.01861111111111,172.98603061385788,0,0,1909,422.0,5,0,0,0,,26.355,26.355,,4.0,0,0,19,43.771348341701774,102.13055100400231,11.287703368951695
127.0782548623752,37.13822371407362,0,73.37472222222222,175.9779965948099,0,2,1909,422.0,6,0,0,0,,,26.355,,,0,0,21,21.009546672726447,126.93767069882986,11.604674331273701
127.07519324295372,37.137885022270346,0,325.1719444444445,98.99642731327734,0,668,1909,422.0,12,1,0,0,91.85833333333333,91.85833333333333,93.855,1.6666666666666667,1.6666666666666667,0,0,94,5.047724039188452,9.575719465977526,147.37911457237627
127.07547437419916,37.13783955341631,0,126.11527777777776,74.7289010821652,0,3,1909,422.0,10,1,0,0,99.75999999999999,91.235,90.27125000000001,2.0,1.5,0,0,94,18.2597878617573,18.288530333135153,161.31873192263424
127.07572869904399,37.13773916921338,0,178.52916666666667,56.111761778580046,0,3,1909,422.0,9,0,0,0,,92.63499999999999,91.86000000000001,,2.0,0,0,90,2.355473851810985,6.831616985330482,146.55899829806725
127.07824090252994,37.14062360810362,0,38.35181818181818,294.95293705525864,0,0,1909,422.0,10,1,0,0,4.59,6.283333333333334,21.504,4.0,2.3333333333333335,0,0,19,22.151001065082077,21.199688641118584,10.415606723772179
127.07824003699932,37.140491813700095,0,41.12431818181818,299.84122552363226,0,0,1909,422.0,10,1,0,0,4.59,4.59,21.504,4.0,4.0,0,0,19,7.5248922593763234,15.916189117478291,10.955750132657514
127.07824211601331,37.14026583841326,0,37.20791666666667,309.6691801064379,0,0,1909,422.0,7,1,0,0,,,4.59,,,0,0,23,9.298883935931215,12.972116725936981,10.776506178426665
127.07824419502731,37.14003986312642,0,37.25958333333333,289.2679445860559,0,0,1909,422.0,7,1,0,0,,,,,,0,0,23,28.403652893434344,33.66869631819393,10.817852787335367
127.0782462740413,37.139813887839594,0,43.26277777777778,269.65690740885645,0,0,1909,422.0,7,1,0,0,,,8.375,,,0,0,23,15.269321350526164,57.93830200216119,10.938420783600623
127.0782483530553,37.13958791255275,0,64.84694444444445,251.02133934498,0,0,1909,422.0,6,0,0,1,,8.375,8.375,,4.0,0,0,6,20.06835503102697,82.69264085013432,11.084914329007825
127.07825043206932,37.1393619372659,0,66.13166666666667,233.59481779901756,0,0,1909,422.0,6,0,1,1,8.375,8.375,8.375,4.0,4.0,0,0,6,41.09804868403656,107.59767192507053,11.25845418632208
127.07825251108332,37.13913596197907,0,73.2638888888889,217.66792565346356,0,0,1909,422.0,6,0,0,0,,,8.375,,,0,0,6,65.06360068530799,132.56849230898422,11.619167722696238
127.07825459009732,37.13890998669224,0,71.45305555555557,203.5929112924919,0,0,1909,422.0,6,0,0,0,,,,,,0,0,21,53.95675374320325,157.57382763707582,11.690114229428216
127.07825666911131,37.138684011405395,0,91.74944444444445,191.77794912603994,0,1,1909,422.0,6,0,0,0,,,,,,0,0,21,30.120804892954347,177.839692217347,12.888147463717953
127.07825874812531,37.138458036118564,0,76.07208333333332,182.662120980664,0,1,1909,422.0,6,0,0,0,,,,,,0,0,21,12.692755641991097,152.81420353849288,12.74229730597831
127.0724230683926,37.135916443507035,0,204.09555555555553,411.9508956739096,2,4,1909,422.0,23,4,0,0,99.445,99.24,90.03666666666668,2.5,3.0,1,2,193,34.15496825340278,18.417643044598847,7.7815971142688865
127.07265121601948,37.13577489266042,0,161.299375,404.29709471455925,0,0,1909,422.0,21,3,0,0,,,99.28666666666668,1.0,2.5,1,2,140,10.140132636576864,13.59945026155185,1.9835793897322604
