,시설구분,시설위치_경도,시설위치_위도
0,유치원과 어린이집,127.0843363,37.13238264
1,유치원과 어린이집,127.0418168,37.1821641
2,유치원과 어린이집,127.0794942,37.15289078
3,유치원과 어린이집,127.0496376,37.1779755
4,유치원과 어린이집,127.04025159999998,37.16531071
5,유치원과 어린이집,127.0693981,37.14001839
6,유치원과 어린이집,127.0688327,37.17018661
7,유치원과 어린이집,127.0826597,37.13016828
8,유치원과 어린이집,127.0555153,37.16306134
9,유치원과 어린이집,127.0527214,37.17272295
10,유치원과 어린이집,127.04086940000002,37.18234072
11,유치원과 어린이집,127.0751458,37.15315471
12,유치원과 어린이집,127.0756448,37.14446687
13,유치원과 어린이집,127.0351983,37.14258445
14,유치원과 어린이집,127.0446544,37.14484764
15,유치원과 어린이집,127.0443671,37.17208718
16,유치원과 어린이집,127.0513561,37.17693639
17,유치원과 어린이집,127.0693872,37.13001264
18,유치원과 어린이집,127.0439361,37.14445727
19,유치원과 어린이집,127.0731455,37.13035976
20,유치원과 어린이집,127.0760496,37.15264414
21,유치원과 어린이집,127.0794045,37.15689273
22,유치원과 어린이집,127.0785136,37.15101235
23,유치원과 어린이집,127.0718378,37.13266267
24,유치원과 어린이집,127.0705737,37.13721025
25,유치원과 어린이집,127.0335856,37.19065929
26,유치원과 어린이집,127.07336940000002,37.16064808
27,유치원과 어린이집,127.0356436,37.1949761
28,유치원과 어린이집,127.0652608,37.19201469
29,유치원과 어린이집,127.0713473,37.13778094
30,유치원과 어린이집,127.0330768,37.19460545
31,유치원과 어린이집,127.06272140000002,37.19275351
32,유치원과 어린이집,127.0801839,37.15443464
33,유치원과 어린이집,127.0676178,37.13430596
34,유치원과 어린이집,127.0678263,37.17482521
35,유치원과 어린이집,127.0553446,37.17296719
36,유치원과 어린이집,127.0694363,37.1392343
37,유치원과 어린이집,127.0434419,37.17233601
38,유치원과 어린이집,127.0363673,37.16136543
39,유치원과 어린이집,127.06860079999998,37.15748489
40,유치원과 어린이집,127.0925795,37.15089929
41,유치원과 어린이집,127.0886428,37.15002033
42,유치원과 어린이집,127.0609121,37.16468597
43,유치원과 어린이집,127.0409514,37.18555005
44,유치원과 어린이집,127.052994,37.13983147
45,유치원과 어린이집,127.08042890000002,37.15493128
46,유치원과 어린이집,127.0758169,37.15196725
47,유치원과 어린이집,127.0762166,37.15499742
48,유치원과 어린이집,127.0528718,37.13954256
49,유치원과 어린이집,127.0838922,37.13534674
50,유치원과 어린이집,127.0484183,37.1462412
51,유치원과 어린이집,127.0745116,37.14172251
52,유치원과 어린이집,127.0553446,37.17296719
53,유치원과 어린이집,127.0821919,37.13128439
54,유치원과 어린이집,127.0685502,37.13466091
55,유치원과 어린이집,127.0701153,37.13663168
56,유치원과 어린이집,127.0774362,37.14023662
57,유치원과 어린이집,127.0670679,37.13003124
58,유치원과 어린이집,127.081849,37.13631308
59,유치원과 어린이집,127.0357037,37.19619323
60,유치원과 어린이집,127.039988,37.18649279
61,유치원과 어린이집,127.05366200000002,37.17176199
62,유치원과 어린이집,127.0729303,37.13258548
63,유치원과 어린이집,127.0647603,37.19284214
64,유치원과 어린이집,127.0394547,37.18525579
65,유치원과 어린이집,127.0543087,37.1633092
66,유치원과 어린이집,127.055967,37.17248277
67,유치원과 어린이집,127.07502379999998,37.15080158
68,유치원과 어린이집,127.0670862,37.13275358
