,lat,lon,geometry
0,37.1593134,127.0593574,"(37.1593134, 127.0593574)"
1,37.1454094,127.06779640000002,"(37.1454094, 127.06779640000002)"
2,37.1591978,127.0623857,"(37.1591978, 127.0623857)"
3,37.1585588,127.0619202,"(37.1585588, 127.0619202)"
4,37.1562159,127.0779908,"(37.1562159, 127.0779908)"
5,37.1435473,127.0683157,"(37.1435473, 127.0683157)"
6,37.1538045,127.0741778,"(37.1538045, 127.0741778)"
7,37.14526420000001,127.0754977,"(37.14526420000001, 127.0754977)"
8,37.1962677,127.02297140000002,"(37.1962677, 127.02297140000002)"
9,37.1379969,127.073774,"(37.1379969, 127.073774)"
10,37.1537248,127.0688269,"(37.1537248, 127.0688269)"
11,37.15890570000001,127.0620307,"(37.15890570000001, 127.0620307)"
12,37.1564829,127.06502720000002,"(37.1564829, 127.06502720000002)"
13,37.1580981,127.0772756,"(37.1580981, 127.0772756)"
14,37.1416672,127.0737855,"(37.1416672, 127.0737855)"
15,37.1484605,127.0748137,"(37.1484605, 127.0748137)"
16,37.1485321,127.0699059,"(37.1485321, 127.0699059)"
17,37.1507488,127.075441,"(37.1507488, 127.075441)"
18,37.1509083,127.07427959999998,"(37.1509083, 127.07427959999998)"
19,37.14647670000001,127.0742219,"(37.14647670000001, 127.0742219)"
20,37.1460391,127.0717961,"(37.1460391, 127.0717961)"
21,37.149108700000006,127.0713949,"(37.149108700000006, 127.0713949)"
22,37.1476902,127.0759792,"(37.1476902, 127.0759792)"
23,37.1604411,127.06590049999998,"(37.1604411, 127.06590049999998)"
24,37.1371515,127.08945049999998,"(37.1371515, 127.08945049999998)"
25,37.1496912,127.0639997,"(37.1496912, 127.0639997)"
26,37.1311389,127.0684183,"(37.1311389, 127.0684183)"
27,37.12988970000001,127.0822459,"(37.12988970000001, 127.0822459)"
28,37.1509755,127.07169740000002,"(37.1509755, 127.07169740000002)"
29,37.1394486,127.0713566,"(37.1394486, 127.0713566)"
30,37.1771108,127.0480021,"(37.1771108, 127.0480021)"
31,37.1775949,127.0453728,"(37.1775949, 127.0453728)"
32,37.141894,127.0764043,"(37.141894, 127.0764043)"
33,37.1421969,127.0495223,"(37.1421969, 127.0495223)"
34,37.1871286,127.0419627,"(37.1871286, 127.0419627)"
35,37.1773335,127.0458627,"(37.1773335, 127.0458627)"
36,37.1624617,127.0534525,"(37.1624617, 127.0534525)"
37,37.1796392,127.0461265,"(37.1796392, 127.0461265)"
38,37.1855632,127.0421246,"(37.1855632, 127.0421246)"
39,37.1414101,127.0696116,"(37.1414101, 127.0696116)"
40,37.1611802,127.057167,"(37.1611802, 127.057167)"
41,37.18470192,127.0448174,"(37.18470192, 127.0448174)"
42,37.1527712,127.0776814,"(37.1527712, 127.0776814)"
43,37.1313327,127.07324409999998,"(37.1313327, 127.07324409999998)"
44,37.1598596,127.0534804,"(37.1598596, 127.0534804)"
45,37.156273,127.0531243,"(37.156273, 127.0531243)"
46,37.1604164,127.0539261,"(37.1604164, 127.0539261)"
47,37.1841969,127.0398682,"(37.1841969, 127.0398682)"
48,37.17527482,127.0499871,"(37.17527482, 127.0499871)"
49,37.17451761,127.0507388,"(37.17451761, 127.0507388)"
50,37.171807,127.06001670000002,"(37.171807, 127.06001670000002)"
51,37.16934122,127.0667373,"(37.16934122, 127.0667373)"
