,link_id,rank,length,name,sido,sigungo,eub,time_range,work/weekend,chaos1,geometry
0,57125499201,101,1.238,경부고속도로,경기도,오산시,대원동,전일,평일,49.1,"MULTILINESTRING ((127.0915744603292 37.13102674174111, 127.0906929103361 37.13166034787984, 127.0897505961886 37.13234473233097, 127.0893878311019 37.13262214071479, 127.0888859513416 37.13309137520044, 127.0887074291347 37.13325530316729, 127.0884884748632 37.13347664806298, 127.0882990201437 37.13370159825586, 127.0879860226251 37.1340807597147, 127.0876699255566 37.13451283692878, 127.0873395996245 37.13501661137249, 127.0870601833242 37.13552753468103, 127.0869051355764 37.13587411584351, 127.0866827216436 37.1364119467714, 127.0864694083433 37.13701179879583, 127.0860338670823 37.13830858409546, 127.0855766936005 37.13964800367258, 127.0852527166408 37.14064461666596))"
1,57125499001,101,1.335,경부고속도로,경기도,오산시,대원동,전일,평일,70.67,"MULTILINESTRING ((127.0848091518794 37.1413474450576, 127.0852772408875 37.13986280860247, 127.0853760745224 37.13957070838078, 127.0858185605783 37.13825370430853, 127.0862572095781 37.13696201249061, 127.086471704549 37.13635175081944, 127.0867108351612 37.13579856099904, 127.086872339062 37.13544161062071, 127.0871790992563 37.13487964715044, 127.0874615671356 37.13443661208587, 127.0878114968672 37.13396959561706, 127.0881169467109 37.13357460714595, 127.0882788702254 37.13338717997384, 127.0885609253031 37.13309507556853, 127.0887191387735 37.13295295659495, 127.0892196333692 37.13251130880559, 127.0896072468199 37.13218537497865, 127.0904772201439 37.13155056197935, 127.0914055977235 37.13088324241133))"
2,57137697901,101,0.093,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,42.61,"MULTILINESTRING ((127.0476412711048 37.18097074603847, 127.0466751434592 37.18063999841625))"
3,57135249601,101,0.324,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,96.75,"MULTILINESTRING ((127.0350838397857 37.17663072811744, 127.0356168170006 37.17669954617568, 127.0366864335508 37.17674287051655, 127.0368550323592 37.1767402967803, 127.0369960184951 37.17672285577427, 127.0370673294849 37.17670513080501, 127.0371270677765 37.17668421434186, 127.0371823422557 37.17665453218342, 127.0372488138407 37.17660213164898, 127.0373207989261 37.17653119053426, 127.0373473478613 37.17649113782775, 127.037426399031 37.17633464907771, 127.0375176145566 37.17613461170274, 127.0375427414845 37.17609567379449, 127.0375728374123 37.17605339704165, 127.0375958732385 37.1760406305018, 127.0376237782209 37.17603240896833, 127.037657920628 37.17603184108007, 127.0377648925299 37.17606030488099, 127.0381985952982 37.17618744122456))"
4,57135250601,101,0.333,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,99.95,"MULTILINESTRING ((127.0366980109014 37.17877185619187, 127.0361205643205 37.17857314804956, 127.0360924224514 37.17854447836142, 127.036076469743 37.17849816720593, 127.0360816551206 37.17845005659888, 127.03610087656 37.17840515755445, 127.0363621116822 37.17784155511746, 127.0363661661847 37.1777993488015, 127.0363561811491 37.17775421252077, 127.0363178009124 37.1777003977861, 127.0361827677637 37.17758131277088, 127.035468263176 37.17711904164478, 127.0350558871237 37.17683662833048, 127.0348259533089 37.17668100744839))"
5,57137696601,101,0.372,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,28.56,"MULTILINESTRING ((126.9983919945723 37.17634723616157, 126.999782050621 37.1756245643509, 127.0001036769109 37.17546535841583, 127.0006008570105 37.17522934715382, 127.0015974039243 37.17472410855635, 127.0019308079609 37.17455176175564))"
6,47834474601,101,0.438,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,53.73,"MULTILINESTRING ((127.0018310491024 37.17475226253234, 127.0001987876327 37.17561850233829, 126.9995915123887 37.1759304589032, 126.9982307470956 37.17664633584027, 126.9978998072568 37.17681728489736, 126.9976968060698 37.17692004167325))"
7,57135252201,101,0.457,오산화성고속도로,경기도,오산시,세마동,전일,평일,91.3,"MULTILINESTRING ((127.0120059517558 37.19277299317987, 127.0119094175652 37.19259056128699, 127.0110343578106 37.19094383138354, 127.0109205980034 37.1907330956908, 127.0107497262569 37.19047542071451, 127.0102237000051 37.18973269453256, 127.0098356763936 37.18904236788773))"
8,57135251801,101,0.522,오산화성고속도로,경기도,오산시,세마동,전일,평일,86.43,"MULTILINESTRING ((127.0103179335908 37.1888757458711, 127.0107236555477 37.1896937805516, 127.0110655315195 37.19046904254467, 127.0112517758925 37.19092480560986, 127.0113930837469 37.19126361410764, 127.0120417016586 37.19254125767998, 127.0124310060951 37.19327129230696))"
9,57137697701,101,0.667,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,42.42,"MULTILINESTRING ((127.0466751434592 37.18063999841625, 127.0465475411387 37.18060011305352, 127.0397755441007 37.17824487416277))"
