,lat,lon,mean,geometry
0,37.1256226537081,127.071472079079,53.3675,"(37.1256226537081, 127.071472079079)"
1,37.1256287454303,127.073160660635,12.580833333333333,"(37.1256287454303, 127.073160660635)"
2,37.1256307706599,127.073723521266,12.777500000000002,"(37.1256307706599, 127.073723521266)"
3,37.1256327932173,127.074286381953,11.696666666666667,"(37.1256327932173, 127.074286381953)"
4,37.1260713170185,127.070906674399,51.1325,"(37.1260713170185, 127.070906674399)"
5,37.1260733529701,127.071469538142,46.642500000000005,"(37.1260733529701, 127.071469538142)"
6,37.1260753862495,127.072032401941,63.99666666666668,"(37.1260753862495, 127.072032401941)"
7,37.126077416856496,127.072595265797,0.9844444444444446,"(37.126077416856496, 127.072595265797)"
8,37.1260814700538,127.073720993677,8.505,"(37.1260814700538, 127.073720993677)"
9,37.126083492644,127.074283857702,4.232857142857143,"(37.126083492644, 127.074283857702)"
10,37.1261015757036,127.079349636442,6.227499999999999,"(37.1261015757036, 127.079349636442)"
11,37.126103571571,127.079912501025,1.497272727272727,"(37.126103571571, 127.079912501025)"
12,37.1264233105788,127.044449442452,3.72625,"(37.1264233105788, 127.044449442452)"
13,37.126425472161294,127.045012306791,0.91125,"(37.126425472161294, 127.045012306791)"
14,37.126522016213,127.070904130068,5.135999999999999,"(37.126522016213, 127.070904130068)"
15,37.1265240521976,127.071466997148,15.642,"(37.1265240521976, 127.071466997148)"
16,37.12652608551,127.072029864285,20.477777777777774,"(37.12652608551, 127.072029864285)"
17,37.12652811615,127.072592731477,0.4125,"(37.12652811615, 127.072592731477)"
18,37.1265301441177,127.073155598727,0.911111111111111,"(37.1265301441177, 127.073155598727)"
19,37.126532169413096,127.073718466032,7.824545454545457,"(37.126532169413096, 127.073718466032)"
20,37.1265341920362,127.074281333394,6.3,"(37.1265341920362, 127.074281333394)"
21,37.126536211987,127.074844200812,17.55333333333333,"(37.126536211987, 127.074844200812)"
22,37.1265382292654,127.075407068287,16.06083333333333,"(37.1265382292654, 127.075407068287)"
23,37.1265522753895,127.07934714217,22.3925,"(37.1265522753895, 127.07934714217)"
24,37.1265562645169,127.080472878066,1.4275,"(37.1265562645169, 127.080472878066)"
25,37.1265622281655,127.082161482325,3.58625,"(37.1265622281655, 127.082161482325)"
