lon,lat,barrier_nearby_count12.5,barrier_nearby_count25
127.0615091731664,37.14928059110616,0,0
127.06161547872829,37.14950332987456,0,0
127.06186518201918,37.149617022500586,0,0
127.06095674539348,37.1494330714628,0,0
127.06123724516809,37.14945708580803,0,0
127.0614611512756,37.1493198798057,0,0
127.0683494614262,37.15483885046748,0,0
127.07355846165296,37.14637116802432,0,0
127.0732725860913,37.14637609738025,0,0
127.07298671052966,37.14638102673618,0,0
127.07215107208305,37.13379107096592,0,0
127.07243332214682,37.13379494374912,0,1
127.06087070382422,37.15001952007859,0,0
127.06099908477827,37.149810464542455,0,0
127.06098665164728,37.14957898746962,0,0
127.06194280832932,37.14963235415559,0,0
127.06171420952602,37.14976980779873,0,0
127.06158148023891,37.14997046282691,0,0
127.0733331915035,37.15611238454205,1,1
127.07306604854416,37.15619079241566,0,1
127.07279890558485,37.15626920028927,0,0
127.07254617705097,37.15637855800893,0,0
127.07242581084438,37.15643307552248,0,0
127.07237668886962,37.15620838524725,0,0
127.07228788684988,37.15598305554489,0,0
127.07212625950916,37.155791029740335,0,0
127.06221297816565,37.1496040765137,0,0
127.0635760908058,37.149466436552025,0,0
127.07205812070904,37.15571550890686,0,0
127.0723281038326,37.15578183142319,0,0
127.07259808695618,37.15584815393953,0,1
127.0733331915035,37.15611238454205,1,1
127.07307759361794,37.156011573545655,1,1
127.07282199573235,37.15591076254926,1,1
127.07277087615526,37.155890600349984,1,1
127.07289195559244,37.155686934286095,1,1
127.071933720145,37.15720277501805,0,0
127.07178344681684,37.157401213043634,0,0
127.07162963651037,37.15759069467154,0,0
127.07147583792889,37.15778011607124,0,0
127.07132217418544,37.15796884484638,0,0
127.07442111885526,37.14636212815828,0,0
127.07470287757732,37.14635701574113,0,0
127.07498463629938,37.146351903323975,1,1
127.07526639502144,37.146346790906826,1,1
127.07554815374348,37.14634167848968,1,1
127.07582991246554,37.14633656607252,0,0
127.0761116711876,37.14633145365537,0,0
127.07450300330484,37.14879717444269,0,0
127.0747857620136,37.1487896744961,0,0
127.07506852072238,37.14878217454951,0,0
127.07535127943116,37.14877467460292,0,0
127.07563403813994,37.148767174656335,0,0
127.07591679684872,37.148759674709744,0,0
127.0761995555575,37.14875217476315,0,0
127.06012087515558,37.15111462837237,0,0
127.06000578337962,37.15132491446853,0,0
127.0599030575352,37.151537642554736,0,0
127.05983212980036,37.15175665004389,0,0
127.05976120206554,37.15197565753304,0,0
127.0615091731664,37.14928059110616,0,0
127.0615927230005,37.14906408254798,0,0
127.0616762728346,37.148847573989805,0,0
127.06175982266872,37.14863106543163,0,0
127.06184337250284,37.148414556873455,0,0
127.06194658136964,37.1481969157807,0,0
127.06206692619509,37.14806850116017,0,0
127.0620994261694,37.14830106561223,0,0
127.0621189800957,37.14852625274471,0,0
127.062138534022,37.14875143987718,0,0
127.06215808794832,37.14897662700965,0,0
