,lat,lon,danger,effect,school_zone
3026,37.13260250391609,127.06908975887396,4.677869725069563,4.828367481392962,True
2005,37.14141408284976,127.0734700375413,4.668023808126418,4.818204798807339,True
531,37.15441431041689,127.07749048255772,4.523210404230168,4.668732416860644,True
4012,37.135631964957646,127.06896136009182,4.479066109672037,4.6231678994925725,True
2119,37.131379924656144,127.06832614992665,4.36748109135845,4.507992936207772,True
7369,37.18633190502315,127.04129654060291,4.354210175932315,4.494295065113059,True
2116,37.13088399379635,127.06948309000369,4.30713633431625,4.445706750465226,True
576,37.15619186205935,127.07687168875442,4.28361110512279,4.421424660901834,True
2304,37.13894774067988,127.07291477843592,4.2762480909165514,4.413824761706713,True
3367,37.17099150432957,127.06604840538107,4.256893630725501,4.393847624313262,True
515,37.15335817255278,127.07699457004223,4.2461351919586585,4.382743061992085,True
204,37.152591778188345,127.06861541831907,4.2144187557337345,4.350006235553034,True
1592,37.14851753483654,127.0657907356177,4.160585329511168,4.294440865018662,True
1832,37.14566458729085,127.04920688438156,4.153815872535435,4.287453619146219,True
5301,37.17641444763073,127.04539941922026,4.1386089935774475,4.271757500149845,True
519,37.15347007736097,127.07587057888344,4.133032357371033,4.2660014508160415,True
2051,37.13781260680583,127.07334191828741,4.1282107183611245,4.261024688663454,True
1991,37.14133601968405,127.0762980310966,4.124867279705176,4.257573683947377,True
1395,37.13591709875968,127.0729756195493,4.109665126981449,4.2418824432390165,True
5,37.15483885046748,127.0683494614262,4.100613646958291,4.232539756424102,True
