시설구분명,설치위치_경도,설치위치_위도
육상시설,127.0738045,37.157196500000005
기타시설,127.04192330000001,37.17944
기타시설,127.0757197,37.1587541
테니스,127.07744459999999,37.1498057
테니스,127.0702232,37.155639799999996
테니스,127.04192330000001,37.17944
테니스,127.07744459999999,37.1498057
테니스,127.0702232,37.155639799999996
테니스,127.04192330000001,37.17944
수영장,127.0757197,37.1587541
수영장,127.0757197,37.1587541
수영장,127.06969860000001,37.1351683
구기체육관,127.0422832,37.178638
구기체육관,127.0644453,37.1382527
체육도장업,127.08753030000001,37.12945327
체육도장업,127.0865886,37.1430057
체육도장업,127.0686748,37.13550226
체육도장업,127.04475929999998,37.1763575
체육도장업,127.07805900000001,37.15636494
체육도장업,127.0618308,37.16283461
체육도장업,127.0753058,37.137868100000006
체육도장업,127.0572459,37.15986781
체육도장업,127.0759455,37.147671100000004
체육도장업,127.0747201,37.14925770000001
체육도장업,127.0446692,37.17622241
체육도장업,127.0785293,37.1312794
체육도장업,127.07803179999999,37.1516164
체육도장업,127.0564481,37.161143200000005
체육도장업,127.07008370000001,37.150693100000005
체육도장업,127.0750939,37.139976700000005
체육도장업,127.0685281,37.13511489
체육도장업,127.0533368,37.17194809
체육도장업,127.08200020000001,37.13578245
체육도장업,127.07958740000001,37.13142296
체육도장업,127.060368,37.16383549
체육도장업,127.07061200000001,37.137258200000005
체육도장업,127.06927920000001,37.13175356
체육도장업,127.0706121,37.13725822
체육도장업,127.078949,37.15703114
체육도장업,127.07386329999999,37.14783461
체육도장업,127.0759473,37.14950029
체육도장업,127.0585619,37.17266658
체육도장업,127.0507489,37.17485953
체육도장업,127.0731383,37.13064304
체육도장업,127.0731977,37.134112
체육도장업,127.060368,37.163835399999996
체육도장업,127.0564482,37.161143200000005
체육도장업,127.0478119,37.1781765
체육도장업,127.08450220000002,37.1391686
체육도장업,127.04891869999999,37.1462791
체육도장업,127.0564481,37.161143200000005
체육도장업,127.0643932,37.15725584
체육도장업,127.06930249999999,37.1326996
체육도장업,127.03045420000001,37.19511239
체육도장업,127.0867801,37.143140700000004
체육도장업,127.07219620000001,37.13422978
체육도장업,127.08249579999999,37.1362236
체육도장업,127.056614,37.17274858
체육도장업,127.04780430000001,37.146252399999995
체육도장업,127.0694791,37.14147576
체육도장업,127.07360940000001,37.141203000000004
체육도장업,127.06861059999999,37.16536298
체육도장업,127.0825584,37.13630657
체육도장업,127.05000290000001,37.17527266
체육도장업,127.06569259999999,37.14933496
체육도장업,127.07663729999999,37.1414444
체육도장업,127.0759455,37.147671100000004
체육도장업,127.0709767,37.1296982
체육도장업,127.0478119,37.1781765
체육도장업,127.060368,37.163835399999996
체육도장업,127.089275,37.14961747
체육도장업,127.0487244,37.1413954
체육도장업,127.05184070000001,37.13916866
체육도장업,127.0753058,37.137868100000006
체육도장업,127.0751701,37.14895112
체육도장업,127.04667509999999,37.17896986
체육도장업,127.08249579999999,37.1362236
체육도장업,127.08655490000001,37.14300573
체육도장업,127.0538367,37.1618111
체육도장업,127.06933980000001,37.149531200000006
체육도장업,127.0763378,37.14597695
체육도장업,127.06872560000001,37.1292309
체육도장업,127.06872560000001,37.1292309
체육도장업,127.07267279999999,37.138563500000004
체육도장업,127.0685281,37.13511489
체육도장업,127.0325605,37.195382099999996
체육도장업,127.04995290000001,37.18032918
체육도장업,127.07803179999999,37.15161644
체육도장업,127.02725819999999,37.16846928
체육도장업,127.0714213,37.13597826
체육도장업,127.0566395,37.16114312
체육도장업,127.06716580000001,37.17430213
체육도장업,127.06558490000002,37.17085081
체육도장업,127.074867,37.13794952
체육도장업,127.0685281,37.1351148
체육도장업,127.0488963,37.14642328
체육도장업,127.07000420000001,37.14981016
체육도장업,127.08677970000001,37.142726200000006
체육도장업,127.0453112,37.17652853
체육도장업,127.07278529999999,37.13841931
체육도장업,127.07600359999998,37.14964439999999
체육도장업,127.04697959999999,37.14091861
체육도장업,127.0686183,37.135313000000004
체육도장업,127.0691372,37.17536427
체육도장업,127.04306470000002,37.14458726
체육도장업,127.0753058,37.137868100000006
체육도장업,127.0301727,37.195364700000006
체육도장업,127.0430922,37.17527686
체육도장업,127.04325349999999,37.18207967
체육도장업,127.05905759999999,37.1731348
체육도장업,127.0458092,37.14119829999999
체육도장업,127.06044979999999,37.19741729
체육도장업,127.0572014,37.1597822
체육도장업,127.06044969999999,37.197417200000004
체육도장업,127.07575320000001,37.14661705
체육도장업,127.0720854,37.160864700000005
체육도장업,127.0633377,37.17471862
체육도장업,127.0742486,37.15058258
체육도장업,127.065394,37.16947348
체육도장업,127.0655392,37.19260162
체육도장업,127.0453112,37.17652853
체육도장업,127.0837735,37.13123096
체육도장업,127.0708332,37.13277988
체육도장업,127.0705869,37.15953211
체육도장업,127.0450952,37.17652491
체육도장업,127.03035359999998,37.17037388
체육도장업,127.0779658,37.15637381
체육도장업,127.0660085,37.16964447
체육도장업,127.0507395,37.17452729
체육도장업,127.06872630000001,37.13538268
체육도장업,127.0495352,37.14211602
체육도장업,127.0577801,37.19704913
체육도장업,127.0648088,37.16983421
체육도장업,127.089275,37.14961747
체육도장업,127.06836709999999,37.13111432
체육도장업,127.08249579999999,37.1362236
체육도장업,127.0698617,37.14139445
체육도장업,127.0682807,37.1484505
체육도장업,127.0344304,37.1958052
체육도장업,127.07805900000001,37.15636494
체육도장업,127.04570030000001,37.14766792
체육도장업,127.0561665,37.160918
체육도장업,127.06887730000001,37.15043685
체육도장업,127.09069469999999,37.15080581
체육도장업,127.06753490000001,37.15816423
