,lon,lat,overspeed_cam_count100,floating_pop_count50,bump_count0,parking_count12.5,parking_count25,car_count1000,child_count1000,elem_kinder_count400,numberSchoolZone_count400,accident_count12.5,accident_count25,num_cram_school_count400,shortest_cross_count0,shortest_traffic_signal_count0,shortest_sidewalk_count0,barrier_nearby_count12.5,barrier_nearby_count25,chaos1_nearby_count12.5,chaos1_nearby_count25,chaos1_nearby_count50,width_nearby_count12.5,width_nearby_count25,cross_road_nearby_count12.5,cross_road_nearby_count25
0,127.06150917316641,37.149280591106155,0,390.898125,143.58256780645854,0,0,470,24.0,1,0,0,1,17,0.0,4.965855145735414,58.860463187283955,0,0,90.53,69.89,84.5725,1.0,1.3333333333333333,2,3
1,127.06161547872827,37.14950332987456,0,507.73916666666673,117.12197677535316,0,0,470,24.0,1,0,0,1,17,19.93410512152543,16.78655750416837,42.782538817011435,0,0,,79.78666666666669,82.80937500000002,1.0,1.75,1,4
2,127.06186518201919,37.149617022500586,0,364.71888888888884,98.52598820453363,0,0,470,24.0,1,0,0,0,26,16.63181866521683,21.477200716710147,33.34889648427678,0,0,84.97,94.67666666666666,79.33500000000002,1.0,2.0,2,3
3,127.06095674539348,37.149433071462795,0,427.0779166666666,154.75513156616762,0,0,470,24.0,1,0,0,0,4,11.360299894041887,9.200259473799573,8.918162978627784,0,0,90.53,96.02375,88.85833333333333,1.0,2.0,1,3
4,127.06123724516807,37.14945708580803,0,476.3105555555555,137.43789002852932,0,0,470,24.0,1,0,0,1,17,24.794651182580715,27.730342877363373,29.463052903335214,0,0,90.53,79.57000000000002,90.39,1.0,2.0,1,3
5,127.0614611512756,37.1493198798057,0,390.898125,141.1970114021386,0,0,470,24.0,1,0,1,1,17,0.0,7.210270536358541,53.18008280405292,0,0,90.53,69.89,84.5725,1.0,1.3333333333333333,2,3
6,127.0683494614262,37.15483885046748,0,200.88027777777774,326.0371934000351,1,5,1642,162.0,5,2,1,1,15,12.617952083462953,11.592142293330085,11.11730063966202,0,0,85.0225,85.0225,85.44375,2.0,2.0,0,0
7,127.07355846165295,37.146371168024324,0,142.95027777777776,352.7392003773619,0,0,1909,163.0,12,1,0,0,160,11.214116096900852,16.047135789696096,14.634034776661528,0,0,59.17,59.17,60.165000000000006,3.0,3.0,0,0
8,127.07327258609129,37.146376097380255,0,151.62541666666667,338.51935312967964,0,0,1909,163.0,12,1,0,0,160,0.0,7.363080908098617,4.706582505836193,0,0,61.16,61.16,62.25833333333333,3.0,3.0,0,0
9,127.07298671052963,37.14638102673618,0,157.43805555555556,325.6631085789965,0,0,1909,163.0,10,1,0,0,160,24.83346702700912,28.06719836903665,4.938182565129163,0,0,61.16,63.8025,63.8025,3.0,2.5,0,0
10,127.07215107208306,37.13379107096592,0,124.65555555555555,432.52527392444216,6,18,1909,422.0,27,6,0,0,135,7.448928951532687,153.43905740155466,48.694738780403384,0,0,92.475,92.475,75.9,2.0,2.0,0,0
11,127.07243332214682,37.133794943749116,0,144.45972222222218,449.7069548644648,0,3,1909,422.0,25,4,0,0,135,23.044858659607147,143.52555329125184,25.55876393826436,0,1,92.475,66.92166666666667,67.817,2.0,2.0,0,4
12,127.06087070382422,37.150019520078594,0,544.6991666666668,120.86483086379593,0,3,470,24.0,1,0,0,0,4,0.0,9.525662391058779,6.132743234305343,0,0,86.125,90.61666666666667,93.436,1.0,2.0,2,3
