정류장 ID,정류장명,정류장 위치_경도,정류장 위치_위도
223000095,오산시티자이1.2단지,127.09103329999999,37.149983299999995
223000124,재래시장앞,127.0687,37.1527167
223000290,솔매마을,127.02665,37.1788333
223000289,솔매마을,127.02661670000002,37.1789333
223000306,죽미마을입구,127.04611670000001,37.1782167
223000166,세마역,127.04196670000002,37.1868167
223000210,락원식당앞,127.09003329999999,37.1588167
223000209,롯데오산물류,127.09331670000002,37.15885
223000336,오산시티자이1.2단지,127.09078329999998,37.1500667
223000229,대원동주민센터.원일초등학교,127.07096670000001,37.1389167
223000232,대림1단지,127.0708,37.14115
223000231,대림아파트1단지,127.06963329999999,37.141316700000004
223000230,대원동주민센터,127.071,37.1387833
223000228,한전사거리,127.07413329999999,37.135999999999996
223000282,지곶동대림아파트,127.0272833,37.1698667
223000307,죽미마을입구,127.04606670000001,37.17795
223000308,수청근린공원,127.0681667,37.16205
223000331,세마중고교,127.04296670000001,37.18215
223000266,오산사회복지관.보건소.오산시립미술관,127.07788329999998,37.15995
223000309,수청초등학교앞,127.05765,37.1701833
223000178,가장슈퍼,127.03556670000002,37.1606333
223000227,오산성당,127.05823329999998,37.15155
223000211,신동아아파트1차,127.04328329999998,37.14375
223000335,부산동슈퍼,127.08863329999998,37.1510167
223000334,부산동슈퍼,127.08845,37.1510667
223000317,한신대학교,127.02361670000002,37.19415
223000328,금암마을6단지,127.04535,37.171516700000005
223000332,세마중고교,127.04266670000001,37.1822
223000099,대림아파트,127.06858329999999,37.140783299999995
223000097,우방한솔아파트,127.06893329999998,37.1338333
223000096,운천고교.운천초교,127.07996670000001,37.1554
223000094,오산시청.운암주공4단지,127.07621670000002,37.1511
223000093,운암주공5단지.운암중학교,127.07528329999998,37.1464167
223000087,가수동주공아파트,127.05316670000002,37.1440667
223000086,늘푸른아파트.오산초등학교,127.04938329999999,37.1433
223000084,신동아아파트2차,127.04433329999999,37.142816700000004
223000083,탑동입구.이림아파트,127.04696670000001,37.1412833
223000082,오산초등학교,127.04941670000001,37.1432167
223000080,남촌.오산농협,127.06485,37.1492
223000065,벌음동,127.03978329999998,37.1403667
223000062,내삼미동입구,127.05885,37.177266700000004
223000061,죽미고개.내삼미동,127.05291670000001,37.1807
223000059,세마대입구.세마대사거리,127.04668329999998,37.1886833
223000142,정림입구,127.03543329999998,37.1362333
223000134,희망아파트앞,127.0746,37.15665
223000133,문화예술회관.고용복지플러스센터,127.0767,37.1579833
223000130,궐리사앞,127.0645,37.15775
223000123,오산장터,127.06871670000001,37.153966700000005
223000122,대우3차아파트.궐동,127.06718329999998,37.1577667
223000116,남촌오거리,127.06185,37.1504
223000112,제일아파트.대호중학교,127.05498329999999,37.1603167
223000108,오산성당.청학동,127.05821670000002,37.1517833
223000137,늘푸른오스카빌,127.04723329999999,37.1475667
223000136,늘푸른오스카빌후문,127.04708329999998,37.1473833
223000092,신양아파트.현대자동차,127.07338329999999,37.1460333
223000141,오색시장,127.06863329999999,37.1513833
223000139,늘푸른오스카빌정문,127.04925,37.1468167
223000056,우미아파트,127.05995,37.1728667
223000051,오산장터,127.06851670000002,37.1541167
223000040,지곳동,127.02401670000002,37.1782167
223000039,서랑동저수지,127.0129667,37.17375
223000037,서랑동,127.00676670000001,37.1727333
223000036,서랑동마을입구,127.01001670000001,37.1738333
223000034,지곳동,127.02403329999999,37.1781333
223000033,보적사입구,127.0283667,37.1797
223000032,농협,127.03635,37.1850167
223000031,롯데연수원,127.0922,37.1581167
223000029,문화예술회관.고용복지플러스센터,127.07775,37.1588167
223000028,종합운동장,127.07443329999998,37.1568167
223000027,팔각정,127.0696,37.15535
223000023,세교자이후문,127.0646,37.1757167
223000022,삼성본병원,127.06163329999998,37.1919
223000021,지곶동,127.02481670000002,37.1774
223000017,지곶동,127.02473329999998,37.1773167
223000064,벌음동,127.0401,37.14025
223000063,신동아아파트입구,127.0431333,37.140383299999996
223000157,서동입구,127.04453329999998,37.156516700000005
223000160,두곡1교,127.04198329999998,37.1299833
223000006,은계주공아파트,127.07071670000002,37.1597833
